club_name,league_name,country,total_spent_m,total_received_m,net_profit_m,n_buys,n_sells
SC Cambuur-Leeuwarden,Eredivisie,Netherlands,0.7,1.2,0.5,35,38
SC Farense,Liga Nos,Portugal,0.0,0.0,0.0,7,6
SC Freiburg,1 Bundesliga,Germany,135.7,182.6,46.9,69,93
SC Heerenveen,Eredivisie,Netherlands,39.4,128.1,88.7,82,127
SC Olhanense,Liga Nos,Portugal,0.4,2.4,2.0,32,30
SC Paderborn 07,1 Bundesliga,Germany,2.3,5.8,3.5,18,17
SD Eibar,Primera Division,Spain,49.4,50.4,0.9,65,51
SD Huesca,Primera Division,Spain,12.8,0.0,-12.8,15,14
SL Benfica,Liga Nos,Portugal,583.1,1360.3,777.1,126,154
SM Caen,Ligue 1,France,32.5,54.5,22.0,50,46
SPAL,Serie A,Italy,44.6,37.6,-7.0,20,18
SPAL 2013,Serie A,Italy,6.1,0.5,-5.6,13,4
SS Lazio,Serie A,Italy,362.8,296.1,-66.8,97,121
SSC Napoli,Serie A,Italy,879.9,637.9,-241.9,100,127
SV Darmstadt 98,1 Bundesliga,Germany,4.7,5.2,0.5,21,20
SV Werder Bremen,1 Bundesliga,Germany,158.3,164.0,5.7,84,96
Sevilla FC,Primera Division,Spain,695.4,788.0,92.6,108,122
Sheffield United,Premier League,England,133.2,0.3,-132.8,16,12
Southampton FC,Premier League,England,702.0,499.5,-202.5,64,75
SpVgg Greuther Fürth,1 Bundesliga,Germany,4.7,5.8,1.1,23,18
Sparta Rotterdam,Eredivisie,Netherlands,1.4,21.9,20.5,38,51
Spezia Calcio,Serie A,Italy,40.9,40.0,-0.8,32,29
Sporting CP,Liga Nos,Portugal,326.2,617.6,291.4,125,140
Sporting Gijón,Primera Division,Spain,2.8,4.5,1.7,18,25
Stade Brestois 29,Ligue 1,France,47.2,52.3,5.1,52,54
Stade Reims,Ligue 1,France,85.4,105.2,19.8,52,56
Stade Rennais FC,Ligue 1,France,439.1,453.2,14.1,92,119
Stoke City,Premier League,England,217.2,73.8,-143.3,56,45
Sunderland AFC,Premier League,England,253.3,138.4,-114.8,62,71
Swansea City,Premier League,England,244.5,240.8,-3.6,55,51
TSG 1899 Hoffenheim,1 Bundesliga,Germany,253.9,425.7,171.8,93,99
Torino FC,Serie A,Italy,298.9,309.6,10.7,85,112
Tottenham Hotspur,Premier League,England,1045.1,686.8,-358.4,67,88
Twente Enschede FC,Eredivisie,Netherlands,57.3,145.2,87.9,70,81
UC Sampdoria,Serie A,Italy,354.0,442.9,88.9,123,156
UD Almería,Primera Division,Spain,40.3,31.2,-9.1,29,31
UD Las Palmas,Primera Division,Spain,9.2,23.5,14.3,21,23
US Cremonese,Serie A,Italy,25.2,0.0,-25.2,9,2
US Lecce,Serie A,Italy,15.3,11.5,-3.7,32,39
US Palermo,Serie A,Italy,141.2,204.9,63.6,75,84
US Salernitana 1919,Serie A,Italy,54.1,21.0,-33.1,31,18
US Sassuolo,Serie A,Italy,375.1,319.9,-55.2,85,90
Udinese Calcio,Serie A,Italy,330.7,585.8,255.0,135,147
